[2018-06-09 21:20:16,409] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:21:07,796] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:21:07,796] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:21:07,796] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:25:48,965] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:25:48,965] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:25:48,965] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:27:26,062] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:27:26,063] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:27:26,063] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:28:55,814] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:28:55,814] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:28:55,815] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:31:38,692] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:31:38,693] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:31:38,693] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:55:16,319] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:55:16,319] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:55:16,320] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
